# t 0 1 2 3
1.750000000000000167e-02,9.991643440620564531e-01,3.077483645673309088e-04,4.976295485627017486e-04,3.027802481356011891e-05
3.500000000000000333e-02,9.966622496953744248e-01,1.235238367404733421e-03,1.969424050137137065e-03,1.330878870839944717e-04
5.250000000000000500e-02,9.925082975744377034e-01,2.784864547111183791e-03,4.378053616269633221e-03,3.287842621819906243e-04
7.000000000000000666e-02,9.867266570007294790e-01,4.953688240835876777e-03,7.678976120599195244e-03,6.406786378359937599e-04
8.750000000000000833e-02,9.793508895662130787e-01,7.733443448279639539e-03,1.182095681948287097e-02,1.094710166025003465e-03
1.050000000000000100e-01,9.704236770611525120e-01,1.111060369717115776e-02,1.674664746110971630e-02,1.719071780567315612e-03
1.225000000000000117e-01,9.599964763681186897e-01,1.506650903730352362e-02,2.239321845592961643e-02,2.543796138649015957e-03
1.400000000000000133e-01,9.481291048148841050e-01,1.957755155377621792e-02,2.869303715890825224e-02,3.600306472432355989e-03
1.575000000000000289e-01,9.348892601512114320e-01,2.461541707466562146e-02,3.557438486979076775e-02,4.920937904333267353e-03
1.750000000000000167e-01,9.203519799606310059e-01,3.014738006273114460e-02,4.296220479586267127e-02,6.538435180776153155e-03
1.925000000000000044e-01,9.045990459110690995e-01,3.613664803336615744e-02,5.077887294634123722e-02,8.485433109224236117e-03
2.100000000000000200e-01,8.877183387811129478e-01,4.254275123975957695e-02,5.894498374123540579e-02,1.079392623789271824e-02
2.275000000000000355e-01,8.698031506659857914e-01,4.932197281850558140e-02,6.738014202198649993e-02,1.349473449352286795e-02
2.450000000000000233e-01,8.509514611638810955e-01,5.642781410138481002e-02,7.600375314712665142e-02,1.661697158760779350e-02
2.625000000000000111e-01,8.312651846649355969e-01,6.381148937769429152e-02,8.473580294321057804e-02,2.018752301415991865e-02
2.800000000000000266e-01,8.108493961084068946e-01,7.142244404145978165e-02,9.349761945801121632e-02,2.423054039212267988e-02
2.975000000000000422e-01,7.898115427361201979e-01,7.920888978338333497e-02,1.022126087270258665e-01,2.876695875347115572e-02
3.150000000000000577e-01,7.682606494503504413e-01,8.711835029178333079e-02,1.108069571123520280e-01,3.381404314551449131e-02
