t,0,1,2,3
0.666,(0.1960873316902101+0j),(0.2467301608393988+0j),(0.24673016083939903+0j),(0.3104523466309924+0j)
0.684,(0.18306580264204567+0j),(0.24479609405132158+0j),(0.2447960940513218+0j),(0.327342009255311+0j)
0.7020000000000001,(0.17125897105687052+0j),(0.24257550195966127+0j),(0.2425755019596615+0j),(0.34359002502380676+0j)
0.72,(0.16063241765645098+0j),(0.24015732479768298+0j),(0.24015732479768315+0j),(0.3590529327481829+0j)
0.738,(0.15114864935144662+0j),(0.23762975713667944+0j),(0.23762975713667972+0j),(0.37359183637519416+0j)
0.7560000000000001,(0.14276846881139701+0j),(0.23507868125248393+0j),(0.23507868125248407+0j),(0.38707416868363487+0j)
0.774,(0.13545230814069553+0j),(0.23258615199722998+0j),(0.23258615199723032+0j),(0.39937538786484406+0j)
0.792,(0.12916150312871233+0j),(0.23022895741345667+0j),(0.23022895741345686+0j),(0.4103805820443742+0j)
0.81,(0.1238594857185656+0j),(0.22807727808789666+0j),(0.22807727808789674+0j),(0.419985958105641+0j)
0.828,(0.1195128738725631+0j),(0.22619346664285625+0j),(0.2261934666428563+0j),(0.42810019284172424+0j)
0.8460000000000001,(0.11609243987821058+0j),(0.22463096682906336+0j),(0.22463096682906367+0j),(0.4346456264636622+0j)
0.8640000000000001,(0.11357394030685941+0j),(0.2234333894455649+0j),(0.22343338944556518+0j),(0.43955928080201045+0j)
0.882,(0.11193879327279044+0j),(0.22263375980470018+0j),(0.22263375980470038+0j),(0.4427936871178088+0j)
0.9,(0.11117459130484711+0j),(0.22225394872261808+0j),(0.22225394872261822+0j),(0.4443175112499164+0j)
0.9179999999999999,(0.11127544099312822+0j),(0.22230429609101793+0j),(0.22230429609101804+0j),(0.4441159668248356+0j)
0.936,(0.11224212356429675+0j),(0.22278343301952053+0j),(0.22278343301952072+0j),(0.442191010396662+0j)
0.9540000000000001,(0.11408207362313165+0j),(0.22367830537821226+0j),(0.22367830537821226+0j),(0.43856131562044365+0j)
0.972,(0.11680917642597251+0j),(0.2249643983658364+0j),(0.22496439836583665+0j),(0.4332620268423544+0j)
0.99,(0.12044338717390483+0j),(0.22660615853089008+0j),(0.22660615853089028+0j),(0.42634429576431465+0j)
1.008,(0.12501017888025154+0j),(0.22855760653048307+0j),(0.22855760653048324+0j),(0.4178746080587822+0j)
