t,0,1,2,3
0.12000000000000001,0.94287109375,0.0224609375,0.03173828125,0.0029296875
0.24000000000000002,0.8046875,0.0888671875,0.08984375,0.0166015625
0.36000000000000004,0.5947265625,0.181640625,0.169921875,0.0537109375
0.48000000000000004,0.39990234375,0.24072265625,0.23291015625,0.12646484375
0.6,0.26123046875,0.26416015625,0.236328125,0.23828125
0.7200000000000001,0.16259765625,0.2470703125,0.244140625,0.34619140625
0.84,0.11767578125,0.216796875,0.22119140625,0.4443359375
0.9600000000000001,0.1171875,0.21337890625,0.236328125,0.43310546875
1.0799999999999998,0.15185546875,0.2333984375,0.25,0.36474609375
1.2,0.23876953125,0.2509765625,0.2509765625,0.25927734375
1.32,0.38916015625,0.22509765625,0.23486328125,0.15087890625
1.4400000000000002,0.58056640625,0.17919921875,0.17919921875,0.06103515625
1.56,0.7685546875,0.10546875,0.1083984375,0.017578125
1.68,0.92626953125,0.0390625,0.033203125,0.00146484375
1.8,0.99951171875,0.00048828125,0.0,0.0
